NAME,Households,Receipt of SNAP,state,ZIP
ZCTA5 97377,316,0,41,97377
ZCTA5 97423,2927,718,41,97423
ZCTA5 97837,38,0,41,97837
ZCTA5 97856,206,19,41,97856
ZCTA5 97205,5069,1284,41,97205
ZCTA5 97301,18558,5494,41,97301
ZCTA5 97375,441,40,41,97375
ZCTA5 97429,301,73,41,97429
ZCTA5 97467,2217,492,41,97467
ZCTA5 97541,628,133,41,97541
ZCTA5 97828,1451,266,41,97828
ZCTA5 97016,2539,517,41,97016
ZCTA5 97267,13426,1602,41,97267
ZCTA5 97461,269,42,41,97461
ZCTA5 97884,71,4,41,97884
ZCTA5 97449,1172,208,41,97449
ZCTA5 97501,17855,5039,41,97501
ZCTA5 97531,270,40,41,97531
ZCTA5 97627,266,51,41,97627
ZCTA5 97758,41,7,41,97758
ZCTA5 97063,460,64,41,97063
ZCTA5 97009,2908,305,41,97009
ZCTA5 97014,585,109,41,97014
ZCTA5 97030,14800,3446,41,97030
ZCTA5 97039,239,32,41,97039
ZCTA5 97042,1086,105,41,97042
ZCTA5 97049,672,82,41,97049
ZCTA5 97054,580,84,41,97054
ZCTA5 97118,335,72,41,97118
ZCTA5 97141,5347,1188,41,97141
ZCTA5 97149,345,6,41,97149
ZCTA5 97201,9180,1035,41,97201
ZCTA5 97216,6652,1204,41,97216
ZCTA5 97331,0,0,41,97331
ZCTA5 97358,1053,120,41,97358
ZCTA5 97034,7771,184,41,97034
ZCTA5 97048,2704,545,41,97048
ZCTA5 97056,4627,619,41,97056
ZCTA5 97080,15399,1748,41,97080
ZCTA5 97103,7380,1019,41,97103
ZCTA5 97110,505,128,41,97110
