NAME,Population,Households,Receipt of SNAP,state,ZIP,Percent SNAP
ZCTA5 97376,1254,550,133,41,97376,24.1818
ZCTA5 97383,10046,3567,574,41,97383,16.092
ZCTA5 97391,6012,2257,480,41,97391,21.2672
ZCTA5 97411,7337,3394,625,41,97411,18.4148
ZCTA5 97444,5643,2547,353,41,97444,13.8594
ZCTA5 97448,13080,5091,670,41,97448,13.1605
ZCTA5 97114,5102,1606,283,41,97114,17.6214
ZCTA5 97122,396,168,14,41,97122,8.3333
ZCTA5 97210,11877,6710,441,41,97210,6.5723
ZCTA5 97225,26095,11388,537,41,97225,4.7155
ZCTA5 97453,835,411,87,41,97453,21.1679
ZCTA5 97741,12608,4406,1317,41,97741,29.8911
ZCTA5 97750,354,153,20,41,97750,13.0719
ZCTA5 97756,38844,14969,2912,41,97756,19.4535
ZCTA5 97760,6872,2897,449,41,97760,15.4988
ZCTA5 97906,317,106,17,41,97906,16.0377
ZCTA5 97913,4875,1778,460,41,97913,25.8718
ZCTA5 97015,23633,8903,1282,41,97015,14.3996
ZCTA5 97037,975,431,74,41,97037,17.1694
ZCTA5 97065,598,274,48,41,97065,17.5182
ZCTA5 97113,14918,4465,440,41,97113,9.8544
ZCTA5 97123,49317,16272,1861,41,97123,11.4368
ZCTA5 97133,4734,1766,122,41,97133,6.9083
ZCTA5 97138,10693,4368,824,41,97138,18.8645
ZCTA5 97326,1205,446,72,41,97326,16.1435
ZCTA5 97204,1036,384,131,41,97204,34.1146
ZCTA5 97212,26562,10908,886,41,97212,8.1225
ZCTA5 97215,18934,7850,889,41,97215,11.3248
ZCTA5 97321,26995,10593,1333,41,97321,12.5838
ZCTA5 97350,210,82,25,41,97350,30.4878
ZCTA5 97814,12348,5150,948,41,97814,18.4078
ZCTA5 97835,264,121,17,41,97835,14.0496
ZCTA5 97867,811,295,66,41,97867,22.3729
ZCTA5 97874,444,193,26,41,97874,13.4715
ZCTA5 97905,85,45,30,41,97905,66.6667
ZCTA5 97907,501,235,104,41,97907,44.2553
ZCTA5 97918,4224,1555,386,41,97918,24.8232
ZCTA5 97850,17294,7013,1417,41,97850,20.2053
ZCTA5 97864,226,112,16,41,97864,14.2857
ZCTA5 97910,526,207,19,41,97910,9.1787
ZCTA5 97004,4241,1707,117,41,97004,6.8541
ZCTA5 97017,3407,1064,57,41,97017,5.3571
ZCTA5 97021,1012,462,43,41,97021,9.3074
ZCTA5 97845,2835,1337,332,41,97845,24.8317
ZCTA5 97825,248,116,6,41,97825,5.1724
ZCTA5 97838,26153,9276,1833,41,97838,19.7607
ZCTA5 97842,118,65,6,41,97842,9.2308
ZCTA5 97848,192,76,4,41,97848,5.2632
ZCTA5 97883,2526,1022,154,41,97883,15.0685
ZCTA5 97885,1295,598,133,41,97885,22.2408
ZCTA5 97914,19400,5948,1820,41,97914,30.5985
ZCTA5 97029,269,105,17,41,97029,16.1905
ZCTA5 97001,338,69,23,41,97001,33.3333
ZCTA5 97013,24138,8718,1060,41,97013,12.1588
ZCTA5 97022,3386,1341,257,41,97022,19.1648
ZCTA5 97002,6657,2413,216,41,97002,8.9515
ZCTA5 97005,26329,11286,1892,41,97005,16.7641
ZCTA5 97011,840,382,36,41,97011,9.4241
ZCTA5 97018,1789,763,46,41,97018,6.0288
ZCTA5 97456,2826,1099,149,41,97456,13.5578
ZCTA5 97632,1571,565,76,41,97632,13.4513
ZCTA5 97865,1091,534,88,41,97865,16.4794
