NAME,Population,Households,Receipt of SNAP,Public Assist,ZIP,geometry,Percent SNAP,Percent Public Assist,city,county,pop
ZCTA5 97410,566,278,5,5,97410,,1.7986,1.7986,Azalea,Douglas,637
ZCTA5 97415,13857,6462,757,805,97415,,11.7146,12.4574,Brookings,Curry,14182
ZCTA5 97416,1241,404,47,52,97416,,11.6337,12.8713,Camas Valley,Douglas,1349
ZCTA5 97430,394,160,38,38,97430,,23.75,23.75,Deadwood,Lane,349
ZCTA5 97435,2170,934,118,122,97435,,12.6338,13.0621,Drain,Douglas,2135
ZCTA5 97439,15101,7552,1048,1122,97439,,13.8771,14.857,Florence,Lane,14713
ZCTA5 97442,2319,1052,252,252,97442,,23.9544,23.9544,Glendale,Douglas,2047
ZCTA5 97443,2939,1006,243,243,97443,,24.1551,24.1551,Glide,Douglas,2135
ZCTA5 97446,5826,1991,384,391,97446,,19.2868,19.6384,Harrisburg,Linn,6106
ZCTA5 97447,485,210,63,63,97447,,30.0,30.0,Idleyld Park,Douglas,590
ZCTA5 97070,25163,10007,671,849,97070,,6.7053,8.4841,Wilsonville,Clackamas,25101
ZCTA5 97071,31034,10001,1922,2060,97071,,19.2181,20.5979,Woodburn,Marion,29796
ZCTA5 97102,328,183,0,0,97102,,0.0,0.0,Arch Cape,Clatsop,318
ZCTA5 97108,518,221,28,28,97108,,12.6697,12.6697,Beaver,Tillamook,640
ZCTA5 97117,727,255,36,43,97117,,14.1176,16.8627,Gales Creek,Washington,719
ZCTA5 97121,1352,553,73,73,97121,,13.2007,13.2007,Hammond,Clatsop,1402
ZCTA5 97124,56101,20864,1628,2029,97124,,7.8029,9.7249,Hillsboro,Washington,55170
ZCTA5 97128,38246,14389,3243,3455,97128,,22.538,24.0114,Mcminnville,Yamhill,37993
ZCTA5 97135,1016,408,57,57,97135,,13.9706,13.9706,Pacific City,Tillamook,716
ZCTA5 97136,1909,823,154,158,97136,,18.712,19.1981,Rockaway Beach,Tillamook,1590
ZCTA5 97213,32815,14667,1431,1707,97213,,9.7566,11.6384,Portland,Multnomah,33011
ZCTA5 97217,34881,14838,2008,2053,97217,,13.5328,13.8361,Portland,Multnomah,34709
ZCTA5 97220,29318,11615,2359,2460,97220,,20.3099,21.1795,Portland,Multnomah,29629
ZCTA5 97221,12104,4997,264,303,97221,,5.2832,6.0636,Portland,Multnomah,12467
ZCTA5 97006,74152,27309,2858,3039,97006,,10.4654,11.1282,Beaverton,Washington,74070
ZCTA5 97038,15504,5522,960,982,97038,,17.385,17.7834,Molalla,Clackamas,15676
ZCTA5 97055,18600,6831,869,895,97055,,12.7214,13.102,Sandy,Clackamas,18923
ZCTA5 97058,20627,8101,1850,1910,97058,,22.8367,23.5773,The Dalles,Wasco,20619
ZCTA5 97064,3244,1357,296,300,97064,,21.8128,22.1076,Vernonia,Columbia,3167
ZCTA5 97106,4942,1656,123,136,97106,,7.4275,8.2126,Banks,Washington,4908
ZCTA5 97107,2302,922,172,177,97107,,18.6551,19.1974,Bay City,Tillamook,1828
ZCTA5 97109,736,220,11,11,97109,,5.0,5.0,Buxton,Washington,538
ZCTA5 97112,1688,767,132,132,97112,,17.2099,17.2099,Cloverdale,Tillamook,1867
ZCTA5 97115,4021,1384,147,147,97115,,10.6214,10.6214,Dundee,Yamhill,4008
ZCTA5 97140,25778,8739,203,254,97140,,2.3229,2.9065,Sherwood,Washington,26248
ZCTA5 97148,3553,1096,76,106,97148,,6.9343,9.6715,Yamhill,Yamhill,4288
ZCTA5 97219,43274,17694,932,1162,97219,,5.2673,6.5672,Portland,Multnomah,42528
ZCTA5 97230,39900,15326,2383,2589,97230,,15.5487,16.8929,Portland,Multnomah,39776
ZCTA5 97459,14434,5737,1247,1247,97459,,21.7361,21.7361,North Bend,Coos,13643
ZCTA5 97470,18659,8589,1748,1813,97470,,20.3516,21.1084,Roseburg,Douglas,19785
ZCTA5 97478,40357,14735,2598,2780,97478,,17.6315,18.8666,Springfield,Lane,39939
ZCTA5 97480,291,137,46,46,97480,,33.5766,33.5766,Swisshome,Lane,333
ZCTA5 97489,873,384,30,30,97489,,7.8125,7.8125,Walterville,Lane,785
ZCTA5 97492,1071,509,113,115,97492,,22.2004,22.5933,Westfir,Lane,667
ZCTA5 97502,28769,11211,1447,1557,97502,,12.907,13.8881,Central Point,Jackson,28975
ZCTA5 97520,25345,11717,1356,1444,97520,,11.5729,12.324,Ashland,Jackson,25177
ZCTA5 97524,15174,6002,521,607,97524,,8.6804,10.1133,Eagle Point,Jackson,14974
ZCTA5 97527,37120,15275,3274,3350,97527,,21.4337,21.9313,Grants Pass,Josephine,36180
ZCTA5 97530,7806,3451,155,155,97530,,4.4915,4.4915,Jacksonville,Jackson,6913
ZCTA5 97532,2621,1105,157,180,97532,,14.2081,16.2896,Merlin,Josephine,2562
ZCTA5 97137,1087,357,14,19,97137,,3.9216,5.3221,St. Paul,Marion,1385
ZCTA5 97324,1495,632,193,193,97324,,30.538,30.538,Alsea,Benton,1322
ZCTA5 97057,12,6,0,0,97057,,0.0,0.0,Shaniko,Wasco,9
ZCTA5 97208,0,0,0,0,97208,,,,Portland,Multnomah,0
ZCTA5 97369,139,67,8,8,97369,,11.9403,11.9403,Otter Rock,Lincoln,187
ZCTA5 97373,178,0,0,0,97373,,,,Saint Benedict,Marion,196
ZCTA5 97384,67,34,0,0,97384,,0.0,0.0,Mehama,Marion,0
